name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
Computer Science: Software Engineering,2.333333333,0.5,1,0.01,0.01,0.333333333,0.5,0.01,2,0.01,1.5,0.01,1.25,6,1.5,0.01,0.01,0.01,0.01,0.01,0.01,1.04,0.01,0.01,1,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.666666667,0.01,0.01,0.01,0.01,0.01,0.04,1.1,0.01,1,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.166666667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Business & Management,0.866666667,0.7,0.01,5.566666667,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.533333333,0.01,1.166666667,3.533333333,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,1,0.833333333,1.5,0.01,0.2,0.01,0.01,1.5,0.01,0.01,0.01,1,0.333333333,0.04,0.05,2.333333333,0.01,0.01,0.01,0.01,0.833333333,1,0.833333333,0.01,1.5,0.5,0.01,0.01,1.583333333,0.01,0.01,0.01,0.5,0.01,0.5,0.01,0.01,0.25,0.5,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.583333333,0.01,0.01,0.333333333,0.01,0.01,0.01,0.5,0.01,1,0.01,0.01,0.5,0.01,0.333333333,0.01,0.01,0.01,0.333333333,0.01,0.5,0.333333333,0.01,0.75,0.25,1,0.333333333,0.01,0.25,0.333333333,0.01,0.01,0.333333333,0.5,1,1.5,0.333333333,0.01
Education,0.583333333,0.333333333,0.01,1.583333333,1.366666667,1.583333333,0.5,0.333333333,0.5,0.01,2.75,1,0.2,0.01,0.333333333,0.833333333,0.01,0.01,0.01,0.01,0.333333333,1.54,0.01,0.5,0.01,1.666666667,0.01,0.01,0.5,0.2,0.01,1,0.666666667,0.785714286,0.333333333,0.01,0.2,0.333333333,0.04,0.05,0.25,0.333333333,0.01,1.25,0.01,0.01,0.01,2.083333333,0.01,0.01,0.833333333,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.916666667,0.01,2.333333333,1,1.5,4,0.5,0.458333333,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,1,0.5,0.01,0.01,0.01,0.01,0.01,1.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.333333333
Engineering,0.833333333,0.5,0.5,1.083333333,0.333333333,0.01,7.083333333,0.01,0.5,0.01,2.166666667,0.01,0.333333333,2.333333333,0.5,0.01,0.01,0.01,0.01,0.5,0.01,0.04,0.01,0.01,0.01,0.01,1,0.01,0.4,0.01,0.01,0.333333333,0.166666667,1,0.01,0.01,0.01,1,0.04,0.05,1.666666667,0.01,0.25,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.833333333,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.125,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,1,0.01,0.01,0.666666667,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.666666667,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01
Statistics and Data Analysis,1.033333333,0.333333333,1,0.01,1.5,6.25,0.01,0.01,2.5,1,0.01,0.333333333,2.75,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.04,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.5,1.5,0.333333333,0.333333333,0.01,0.166666667,0.706666667,0.01,0.333333333,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,1.166666667,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01
Computer Science: Artificial Intelligence,4.333333333,0.5,0.01,0.25,0.333333333,0.01,1.5,0.01,0.5,0.01,0.01,1.25,1,0.333333333,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.04,0.333333333,0.01,0.01,0.01,0.01,0.25,1,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.333333333,0.04,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Music, Film, and Audio",0.333333333,1,0.01,0.333333333,0.2,0.01,1,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,5,0.01,1,0.01,0.01,0.54,0.01,0.01,0.01,0.01,1,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.04,0.05,0.25,0.01,0.01,0.01,0.666666667,4.5,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.5,0.01,1.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,1.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.666666667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Food and Nutrition,0.25,0.01,0.01,0.01,0.01,0.833333333,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.166666667,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,1.833333333,0.01,0.01,0.01,0.5,0.5,0.5,0.285714286,0.01,0.01,0.01,0.333333333,0.04,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.583333333,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Social Sciences,1.233333333,0.866666667,2,3.733333333,4.933333333,0.783333333,1,0.01,1,0.01,0.25,0.533333333,0.533333333,1,0.01,0.666666667,0.01,0.2,1.75,0.01,1.5,0.873333333,0.01,1.666666667,0.5,0.01,0.01,1.5,0.5,0.533333333,3.5,0.01,0.01,0.285714286,0.333333333,0.5,0.2,1.666666667,1.206666667,0.335714286,0.01,0.333333333,0.01,0.25,0.01,0.01,0.01,1.166666667,1.583333333,0.01,0.833333333,0.01,0.5,0.333333333,0.01,0.5,0.01,0.01,0.5,0.01,0.01,0.01,1.583333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,1.333333333,0.01,0.25,1,0.01,0.333333333,0.01,0.01,0.333333333,0.01,0.01,0.333333333,0.833333333,0.01,0.01,0.01,0.01
Law,0.5,0.2,0.01,0.833333333,0.833333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.666666667,0.873333333,0.01,0.01,0.01,0.01,1,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.54,0.192857143,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,1.25,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.25,1.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01
Arts,0.01,0.01,0.01,0.75,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.2,0.01,0.01,0.7,0.01,0.2,0.333333333,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,1,0.01,1,0.5,0.01,0.01,0.54,0.05,0.25,0.01,0.01,0.01,1.666666667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.5,0.333333333,0.01,0.01,0.01,0.01,0.833333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.5,0.01,0.01,1.5,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,1.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Physics,0.5,0.01,0.5,0.01,1.5,0,0.583333333,0.01,0.01,1.5,0.166666667,1.083333333,0.01,1,0.01,1,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.333333333,1,0.01,0.04,0.05,0.01,0.01,0.25,0.01,0.01,1,0.01,0.25,0.5,0.01,0.01,1.333333333,1,0.01,0.01,0.01,0.5,1,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.5,0.01,1,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,2.333333333,0.5,0.666666667,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
Chemistry,0.01,0.01,0.01,0.01,1,0.5,0.01,0.01,0.01,0.01,3.166666667,0.01,0.01,0.01,4,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,1,0.04,0.192857143,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.125,0.01,0.01,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,1,0.01,0.666666667,0.25,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2,0.01,0.01,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Energy & Earth Sciences,0.01,0.5,0.5,0.2,0.01,0.01,1,0.01,0.5,0.01,0.01,0.333333333,0.01,0.01,2,0.01,0.01,0.2,0.01,0.01,0.333333333,0.04,0.01,0.01,0.5,1,1,0.01,0.333333333,0.01,0.01,0.01,0.166666667,0.285714286,0.01,0.01,0.2,0.333333333,1.373333333,0.335714286,0.333333333,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0,0.333333333,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.25,0.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01
Teacher Professional Development,0.01,0.01,0.01,0.01,0.533333333,1.25,0.25,0.01,0.01,0.01,2.75,0.2,0.01,0.01,0.333333333,0.5,0.01,0.01,0.01,0.01,0.01,1.54,0.01,0.01,0.01,0.666666667,0.01,0.01,0.5,0.2,0.01,0.5,0.5,0.01,0.01,0.01,0.01,0.5,0.04,0.05,0.25,0.01,0.01,0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.916666667,0.01,2.333333333,1,1.5,4,0.5,0.458333333,0.01,0.01,0.01,0.01,1.333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.333333333
